reviewer,rating,written_date,title,review_text,branch
Jen,4.0," May 26, 2021",Good first time visit with kids,"We spent 6 nights on site at Sapphire Falls as a family of 6 (2 adults, 4 kids age 5-14) with a 4 day park hopper pass. We did not get the express pass, but if you want to do rides and aren't there for four days, I don't know how you would experience this park without them. The early park admission didn't do much as only Universal Studios offered it during the days we were there. This ended up being the busiest times of Wizarding World throughout the day and the longest line at the gate. We did Universal Studios and Islands of Adventure Thursday, Friday, Sunday, and Monday to avoid the Saturday crowd. Sunday was the lightest day with regard to crowds.  The theme park did a great job of immersion in the lines and having a little something for everyone. If you are pregnant or are prone to motion sickness, you will struggle to find rides you can do. Our little ones loved Fieval's playland and Dr. Seuss Landing. They also enjoyed the Men in Black Ride. Our older kiddos, who were new to theme parks and coasters, enjoyed a varied array of rides and shows. Animal Antics show was ok- Indianapolis zoo has one similar but much better. Bourne Stuntactcular was amazing. The Ripsaw falls and Popeye's barge were a hoot.  Wizarding World was quite neat. So well done to every fine detail. Unfortunately, employees don't seem to get that memo and ruin the ""magic"" a bit. Gringotts and Hagrid's were amazing rides. Worth the wait. We found Gringotts rarely had a line around 10am after the initial early entrance arrivals went through. Hagrid's line went down the lowest around noon (45 minutes).  We had a lovely time and it was a memorable vacation. Here are a few things to keep in mind or I wish Universal would improve on:  --I don't think I encountered any ""above and beyond"" employees. Most seemed annoyed that guests were in the park. I felt like a stone in their shoe rather than a guest. It was a rare occurrence to get a friendly wave as we entered or left a line.  --Breakfast at the Three Broomsticks was absolutely horrendous (we had breakfast tickets with our package). The girl's pancakes were stale as though they had sat for a couple hours under a heat lamp. It took almost 20 minutes after being seated for someone to come to our table and the place was mostly empty. My eggs were obviously some powdered version and were barely edible. Once the food was delivered, no one came by to refill drinks or ask us about our food. Thankfully, the food and experience at the Leaky Cauldron was 100% better.  --The ""quick service"" dining locations where you mobile ordered and they brought food to your table was incredibly slow- usually about a 45-60 minute wait for food. There was no way to order cups of water on the mobile device, and when we asked for it when the waiter brought our food they seemed quite put out by the request. Maybe this wait is normal, but it was unexpected for us. It was so hard to find water in the park and you always felt like you were the biggest annoyance when asking for it. Many of the freestyle machines (I had been told you could get water from for free) did not offer free water.  --I stood in quite a few lines where the employees were much more interested in talking to one another than interacting with guests. In one line, they were talking about how hammered they had gotten at a party over the weekend. Another kept complaining about how hot and tired they were to another employee and couldn't wait to go on break. These were just a couple of examples. It was as if the park guests were invisible.  --We went knowing the mask rules, followed them to the best of our ability, and were thankful for the ability to not wear them outside when not in line. However, the rules did not make any sense in some instances. The most aggressive employees about masks were on the Red Fish, Blue Fish ride. They would literally interrupt the whole ride and song when a kid's mask fell off in flight below their nose or they moved it down when it got wet. These kids are outside, in the air moving, and at least 15 feet apart from each other. Literally, there is essentially no risk or reason to have masks on in that environment- why interrupt the ride to yell at them? It was just annoying.  One way they did GREAT in the park as we got shut down twice on rides and they did a great job of making it right. Men in Black broke down while we were on it. They kept us all calm and escorted us out with laughter and smiles and a one-time express pass. We waited in line for over an hour for Hagrids when it broke down. They gave everyone in line an exclusive express pass that included coming back to Hagrid's to cut the line which was a tremendous blessing. We also had breakdown problems at Minions and again on Hagrid's when we actually rode it (delay after the devil's snare for a brief bit that was a little terrifying as we could hear the next riders above us and were afraid they'd drop on us!).  The Universal App worked pretty well, but the wait times were rarely accurate for rides. Sometimes it was half as long as it was listed, sometimes twice as long. We went to go to Shrek and when we arrived at the line it said 25 minutes. Throughout our LONG line it continued to say that. Nearly an hour later, we finally got in. We went to Gringotts for a 20 minute line- and there was literally no wait- we climbed right in a vehicle! Mobile ordering was easy- but it doesn't save time. Paying on the universal app was sketchy and it wasn't accepted at the quick food service at CityWalk.  If Universal could improve its staffing both from a quality and quantity perspective, it would really benefit the guest experience.  We had purchased the Harry Potter package- in all, not worth the extra cost.",Universal Studios Florida
Paul S,1.0," May 26, 2021",Same old Orlando experience.,I'm literally standing in a line for the Hagrid thing that I scheduled a slot on using the app. They've packed as many people in the line as they possibly can and are harping at us (threatening to kick us out of line for having our masks off our noses so that we can breath.,Universal Studios Florida
Mandee L,5.0," May 25, 2021",Family Vacation Fun,"Universal Adventure Park was the best out of two we went to. Both were impressively clean, not to crowded & everyone enjoyed themselves. Wait times were a bit long but we expected that.",Universal Studios Florida
Kate Z,2.0," May 25, 2021","Crowded, unhelpful staff, and difficult to get food/water.","It’s no Disney, I’ll tell you that much. We just returned from a one day visit to Universal with park to park passes. We spent the two prior days at Disney and then switched hotels to Endless Summer Dockside. As a married couple, Dockside doesn’t offer king sized beds and has no sit down restaurants, but does have a cafeteria. It’s swarmed with teens and early 20s.  The early entry to Harry Potter is a racket. We got up early and waited in line for a bus, then arrived and waited shoulder to shoulder in the biggest crowd I’ve ever seen to get through security. Then we walked in and waited in another line to get access to the park. As the employee scanned my ticket, they dropped the rope and let in the masses. I asked what’s the point of arriving early if you get in at the same time as the masses and the employee told me we needed to arrive at 6am to get into the 8am early admission. Once we were in the park it was shoulder to shoulder for most of the experience (and this May 2021, still in the pandemic purportedly at limited capacity). The employees were worthless and rarely could answer questions. Went to the Leaky Caldron and asked the employee at the exit, “can I get a coffee here?”, she said no and sent me to the Hopping Pot. Waited in line and asked if Witches Brew was coffee (it’s beer), employee said go to the Leaky Caldron. Went back to the entrance of the Leaky Caldron, couldn’t get in because it was closed for a private event. Returned later as it appeared there was a short line, the employee says order your food on the mobile app while you wait. We do, and as soon as we get inside, the queue is hidden and waited an hour for food. We were upset and felt deceived that part of the queue is hidden and there’s no sign with the wait posted. It’s like they trick you into ordering to get you’re money and then you’re stuck waiting, hungry and thirsty. The food was “ok” and the staff seemed like zombies. Gringotts ride and queue was awesome. Don’t wait in line to buy a wand at Gregorovitches, or anywhere for that matter, it’s not an experience and you can literally buy the same wands everywhere, they sold them in our hotel giftshop. Get your butter beer early as the lines just get longer as the day passes. Line for Hogwarts express only gets longer to. Was 10min around 10:30-11:00. Was 45 min by noon. Diagon Alley is shaded and comfortable temp wise, but there’s no place to sit and rest, as is a complaint for all of Universal and IOA. Getting food and water was tough throughout the park, not enough quick carts with water and long lines. Hogs Meade is hot and sunny, no place to sit in shade and rest. We rode forbidden journey. Got right in with single rider. Then decided to leave for the day. Rather than wait for Howart’s, we walked through IOA. It’s sunny, no place to sit, no shade. And bad signage through US and IOA. Also, universal app is terrible compared to Disney. Tried to stop at several restaurants and get a bite to eat, hours long waits. Got to Citywalk and hours long waits. Also, bad signage. Many restaurants were closed and rather just put up a sign that no restaurants were open, we wasted energy walking. Finally gave up and left park. As we were leaving through a different park than we entered, stopped to ask security guard how to get back to hotel. He was rude unhelpful, acted like he had never heard of Endless Summer Dockside and then laughed and snarkily said, “well how’d you get here” as if I was a moron for asking. I had to explain, I’m leaving through a different park than I entered through, and just shrugged his shoulder and said, the same way you got here. FYI, the busses are the same for both parks. You walk through citywalk for both parks and then go back through security and down to where the buss dropped you. If you strictly want to ride coasters, universe might be for you. We found that the park is geared toward teens and early 20s, and is by and large and lower caliber of park goer and certainly the employees don’t even come close to the level of hospitality and helpfulness you get from Disney. We probably won’t go back unless there is a major expansion to Harry Potter. If anything, our experience made us appreciate Disney all the more.",Universal Studios Florida
Kimberly T,1.0," May 24, 2021",Parking and Guest Services TERRIBLE!!!!!!!!!!,"We went to City Walk due to being with our quadriplegic son. Nothing but CHAOS in regards to parking. No STRUCTURE whatsoever. Unfortunately, we were in the lane furthest away from the handicap accessible area so we had to make our way all the way across to see if we could park in that area. We made it across -scary though- to try to ask the young lady if we could park in that area and she shoved us away, A guy not too - he did the same thing. Actually 4 people total. So we headed on with the rest of the crowd where we were sandwiched in. We parked and had to make it work to get him out. We went to Guest Services only for this guy to say ""we are working long hours"", told us he was working from 1 to 1 and maybe one of us could stand guard while he got out. He did go on to say he was making notes in the system, etc. I called maybe a day or so later to file a complaint as I was sure this guy didn't share our concerns and I was right. When I filed the complaint via phone, I was told my concerns would be shared with management as this was an ADA issue. He gave us a $15 gift card for whenever we returned. To date no one has reached out. All it would have taken was for one of thing to take a minute or so to see what we wanted. I was so disappointed as I have been to Universal many, many times and to have my son who was tragically hit by a CAR which is why he is quadriplegic, to have to park in this deck where his parents had to act as shields was ridiculous. Sad, sad, sad.",Universal Studios Florida
Nancy C,5.0," May 24, 2021",Excellent Vacation,For all ages rides and restaurants lots of photo opportunities and a fantastic water show the best I have ever seen.,Universal Studios Florida
SunilnRiss,5.0," May 22, 2021",Stay at one of 3 resorts that offer EXPRESS PASSES,"The park is always awesome. It vets pretty crowded in the Harry Potter areas but all of the rides, shows, attractions are ""re-dunkously"" fun. My teens are 16, 17 and 19 and they cant get enough of this place.",Universal Studios Florida
Natasha L,5.0," May 19, 2021",Despite the Circumstances,"It was humid, it was windy, we had to wear masks, but Universal still didn’t disappoint. Here’s a little breakdown on what to expect:  May 18- This was a Tuesday, and we chose to go midweek due to better ticket prices and (we hoped) less of a crowd. Even in a pandemic, there are still many people who want to get out to experience some thrills, so the parks were busy. The Universal Studios park was our focus for the day, and we got there as soon as it opened. I recommend this: go as soon as it opens and immediately ride the most popular rides. There will be a shorter wait time. Gringotts was our first ride, and we only waited about 10-15 minutes. After 10:30, the parks tend to get busier and lines much longer. You do have to wear masks the entire time you are in line (even if you are standing in line outside), but you can take off your masks while walking around the park. This was really nice given the humidity. By about 11, most wait times at the Universal Studios park are about 40-60 minutes on average. Depending on the time of day, restaurants will also have longer waits. We went to Mel’s Drive-In at 11:30 with only a short wait. There is one thing to be aware of: weather. Because of high winds, Rip Ride Rocket was “delayed”. Many people were surprised by this and gave workers a hard time, but keep in mind this is for your safety.  May 19- In our opinion, if you had to choose between the parks, choose Islands of Adventure. There are more thrill rides, and rides in general. We once again got to the parks as it opened and right away only had 10 minute waits for the Hulk ride, King Kong, and Harry Potter’s Forbidden Journey. Hulk and King Kong have about 60-80 minute waits on average. Lines started to get longer after 11:00. Here’s a tip: keep an eye on the Velocicoaster... it’s set to open on June 10, but there are random limited times the public can ride it. We rode it, and it was FANTASTIC if you love rollercoasters. Easily our favorite ride. Hagrid’s Motorbike Adventure is also a great experience. Again, don’t be surprised by long restaurant waits. Our longest wait time of the entire day was to enter the Three Broomsticks to eat for lunch (about 1:30 is when we got there). Worth the wait!  All-in-all, it’s still a great (and pricy) time despite the circumstances. If you need an escape, this is worth it!  (One more thing) Unless you are a huge Fast and Furious fan or have run out of rides, I would not wait longer than 30 minutes for Supercharged in the Universal Studios park. It’s underwhelming and very short.",Universal Studios Florida
khali m,1.0," May 19, 2021",AWFUL,"very rude workers yelled at TONS of people. MULTIPLE rides broke down,very very dirty over all i would not recommend to anyone right now",Universal Studios Florida
Linkstrips,4.0," May 19, 2021",Over priced,"Went to is it Park on a Wednesday got there early. Had an early pass to get ahead of the crowds! lots of people long lines even during Covid could not imagine the place if it was at full capacity on a Saturday, still enjoyed the park.",Universal Studios Florida
