reviewer,rating,written_date,title,review_text,branch
Marcello M,1.0," April 5, 2021",値段が高い,too expensive and nothing special。i had to throw in the rubbish my bentou and i had to buy the expensive food of the park. This is crazy!,Universal Studios Japan
mistermark8,5.0," February 21, 2021","smaller than the US counterparts, great experience, and good food.","Love USJ! There's something they do different than other parks. All the staff is very kind and the merchandise is quite unique to this location. Recommend for friends, family, and must ride the dinosaur coaster.",Universal Studios Japan
Thea,5.0," December 7, 2020",Great Place!,"We went to USJ without purchasing any tickets beforehand, it took us less than 5 mins to purchase tickets. We went last Oct 2019 (not 2020), it was Halloween season. The theme of the place was halloween inspired. The lights, decorations, even Hello Kitty was dressed in a sppoky outfit, at night zombies will chase you,  Side note: Don't bring outside food because our food got confiscated at the entrance :(",Universal Studios Japan
Lisa,4.0," November 18, 2020",Once is e ought.,"I buy the annual pass each year and I wonder why. You go 3 times, it becomes cost effective. I never want to go more than that in one year.",Universal Studios Japan
jovinnnnn,5.0," November 18, 2020",Express Pass Recommended,"We bought our tickets through KKday for easy access via QRCode E-Ticket while we purchased our Express Passes direct from USJ's website as it was cheaper compared to packages sold from agencies. However, do note that the whole web page is in Japanese and would require and account and translation to complete the transaction.  Definitely a whole day or two would be required to complete all the attractions in the park with an express pass. We were in the park from opening till closing and although we purchased the Express 7, we did not get to complete 4-5 main attractions due to the queue.  We queued 90-105min for The Flying Dinosaur hence, it would be best to plan accordingly to fully utilized the time spent. Main attractions to visit would be The Wizarding World of Harry Potter, Jurassic Park, Minion Park and Hollywood the Ride! Terminator 2 3-D attraction was presented in Japanese only to our dismay hence, we got bored halfway through it.  Would definitely come back again to experience Super Nintendo World in 2021! :D",Universal Studios Japan
The Eating Ashman,4.0," November 1, 2020",Super full day at Universal Studios Japan osaka,"This was for my sons 10th birthday and my wife is also a pretty big Harry Potter fan. So the The Wizarding World of Harry Potter was the main reason that we went but there was plenty of other things to do and see. The rides we enjoyed were: Despicable Me Minion Mayhem, Harry Potter and the Forbidden Journey and Flight of the Hippogriff and Jurassic Park the ride (the last 2 were actual roller coaster rides, the other were 3D/4D rides). All of there were lots of fun but I prefer the actual rides to the 3D/4D rides. Make sure you get some Butterbeer - it tastes awesome. Also another tip is to go early or late for lunch as there can be a bit of a wait (also depending on where you go it can be a little expensive) Over all a fun filled, exhausting day that the whole family enjoyed",Universal Studios Japan
Joel S,5.0," October 24, 2020",Way better than Tokyo Disney!,The experience was the best we have had at an park attraction. So many cool rides and Harry Potter was out of this world...I'd pay just if it was only that section.,Universal Studios Japan
Alfie,4.0," October 22, 2020",Theme park trip,I liked it here because of the sun at lost here. The Japanese have a great sense of humour and mischief. I felt very safe.,Universal Studios Japan
Mawar M.S,5.0," October 5, 2020",Unforgettable moments,All i have felt was great. Fantastic. So happy and highly recommended. All ride so amazing. Minions. Harry potter. Spiderman. Jaws. The Flying Dinosour is very best. All protocol for safety.. i love it very much. Oh ya.. i just knew.. that u cant use your tripod here.. The location is near to station. Many thing to do here. Unforgettable moments. Its good if just solo traveller here.,Universal Studios Japan
pierreinasia,1.0," August 5, 2020",They won't let you bring in water.,"Knowing how incredibly annoying japanese people can get when it comes to dumbly applying rules, I read them carefully in both English and Japanese the day before going to avoid any problem. Alas, they still managed to find something to nitpick about in my bag : my bottle of water, which apparently was oversized (no joke -,-). So they took it and thanks to them I got a heatstroke. I contacted the customer service but they don't care. Great. Never going there again.",Universal Studios Japan
GroovyM,5.0," July 13, 2020",Everyone was very Friendly,"We live in Kansai and were able to visit in July 2020 during the restricted entry for local residents. We went on a weekday and there were no lines or large crowds. Everyone of the USJ staff was very happy and friendly. It was remarkable and added to the fun experience. **TIP** Download the USJ app on Android or iPhone. The map feature is excellent, you can save favorites and there is real-time information about wait times for the attractions. The Harry Potter Journey was incredible. It did make me dizzy and nauseous afterwords however. Overall it was a very fun day and we were able to see/do everything we wanted in about 5 hours because there were no lines or wait times for any of the attractions or restaurants.",Universal Studios Japan
StripeyMiata,4.0," June 26, 2020","For our USA fans, they still have the JAWS ride","A great day out, lots of unique things you never seen in USA parks like Sesame Street, Peanuts & Hello Kitty",Universal Studios Japan
Glee Peters,5.0," June 3, 2020",Loved Every Corner of USJ,"My favorite part of my experience is the Harry Potter ride experience. but i think, every part that i visited i have enjoyed a lot. i got back being a kid again hahaha. Though you have to be hungry walking the entire area. it is worth all your time.",Universal Studios Japan
Kim Sumin,5.0," May 28, 2020",USJ is really fantastic!,"There are various zones such as Harry Poter, Minion, Spider-Man, Jaws and Jurassic Park, and there are so many rides available for various age groups. The most interesting ride for me was The Flying dinosaur, but the waiting line was really long, so I was sad. If you buy Express Pass, you don't have to line up, but it's expensive. Therefore, To wait less I recommend waiting in one person line even if you have a party. And I recommend you to go for popular attractions like Harry Potter first. It was so much fun that I wanted to go to osaka every time. If you go to Osaka, please go to Universal Studios:)",Universal Studios Japan
Unknown,5.0," May 6, 2020",So much fun,"I went there in the late Morning and i spent the whole day there as its fun. There are different sections for different ages like the harry potter rides , the minion rides etc.",Universal Studios Japan
